original_track_id,filtered_track_id,frame_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,bottom_center_x,bottom_center_y,confidence,court_region_score,size_score,duration_score,final_player_score,keep,rejection_reason
player_1,player_b,120,1289.339,1547.772,1451.548,1928.678,1370.443,1738.225,1370.4434999999999,1928.678,0.7312,0.45,0.9311,1.0,0.7726,True,
player_2,player_a,120,2240.313,410.176,2323.964,544.143,2282.138,477.16,2282.1385,544.143,0.6357,1.0,0.1689,1.0,0.8138,True,
unknown_3,,120,587.813,827.121,853.439,1088.808,720.626,957.965,720.626,1088.808,0.4774,0.05,1.0,1.0,0.5518,False,far_outside_court_region
unknown_4,,120,1726.972,214.394,1828.551,344.394,1777.761,279.394,1777.7615,344.394,0.4281,0.45,0.199,1.0,0.5438,False,lower_ranked_player_candidate
unknown_5,,120,2519.167,221.967,2600.129,356.662,2559.648,289.315,2559.648,356.662,0.3737,0.45,0.1643,1.0,0.5202,False,lower_ranked_player_candidate
unknown_6,,120,1025.926,853.423,1136.52,1006.399,1081.223,929.911,1081.223,1006.399,0.3577,0.45,0.255,1.0,0.5314,False,lower_ranked_player_candidate
unknown_7,,120,2143.14,187.01,2210.476,345.939,2176.808,266.475,2176.808,345.939,0.3214,0.45,0.1613,1.0,0.5029,False,lower_ranked_player_candidate
unknown_8,,120,1412.949,170.246,1474.362,333.489,1443.656,251.868,1443.6555,333.489,0.2812,0.45,0.1511,1.0,0.4882,False,lower_ranked_player_candidate
unknown_9,,120,1.717,1465.384,276.02,1744.634,138.869,1605.009,138.86849999999998,1744.634,0.274,0.05,1.0,1.0,0.4867,False,far_outside_court_region
unknown_10,,120,402.452,1041.443,578.912,1282.894,490.682,1162.169,490.682,1282.894,0.274,0.05,0.6421,1.0,0.4223,False,far_outside_court_region
unknown_11,,120,407.683,1054.187,524.042,1283.379,465.863,1168.783,465.8625,1283.379,0.2667,0.05,0.4019,1.0,0.3767,False,far_outside_court_region
player_1,player_b,121,1289.337,1547.535,1451.565,1928.706,1370.451,1738.121,1370.451,1928.706,0.7296,0.45,0.9319,1.0,0.7722,True,
player_2,player_a,121,2240.507,410.292,2324.119,543.99,2282.313,477.141,2282.313,543.99,0.6339,1.0,0.1685,1.0,0.8132,True,
unknown_3,,121,587.703,827.307,853.754,1088.766,720.728,958.037,720.7284999999999,1088.766,0.4785,0.05,1.0,1.0,0.5521,False,far_outside_court_region
unknown_4,,121,1725.985,210.331,1830.012,342.499,1777.998,276.415,1777.9985,342.499,0.4277,0.45,0.2072,1.0,0.5452,False,lower_ranked_player_candidate
unknown_6,,121,1025.998,853.959,1136.274,1006.301,1081.136,930.13,1081.136,1006.301,0.3639,0.45,0.2532,1.0,0.533,False,lower_ranked_player_candidate
unknown_5,,121,2518.838,221.756,2600.093,356.539,2559.465,289.148,2559.4655000000002,356.539,0.3624,0.45,0.165,1.0,0.5167,False,lower_ranked_player_candidate
unknown_7,,121,2141.412,187.767,2213.337,346.002,2177.375,266.885,2177.3745,346.002,0.3306,0.45,0.1715,1.0,0.5077,False,lower_ranked_player_candidate
unknown_9,,121,1.703,1464.894,275.561,1743.231,138.632,1604.062,138.63199999999998,1743.231,0.2823,0.05,1.0,1.0,0.4893,False,far_outside_court_region
unknown_8,,121,1411.123,168.257,1472.221,332.921,1441.672,250.589,1441.672,332.921,0.2803,0.45,0.1516,1.0,0.488,False,lower_ranked_player_candidate
unknown_11,,121,407.124,1054.381,523.762,1283.507,465.443,1168.944,465.443,1283.507,0.276,0.05,0.4028,1.0,0.3798,False,far_outside_court_region
unknown_10,,121,402.128,1042.251,576.85,1283.004,489.489,1162.628,489.48900000000003,1283.004,0.2746,0.05,0.6339,1.0,0.421,False,far_outside_court_region
unknown_12,,121,1917.519,228.559,2004.407,330.979,1960.963,279.769,1960.963,330.979,0.2521,0.45,0.1341,1.0,0.4758,False,lower_ranked_player_candidate
player_1,player_b,122,1288.135,1546.905,1454.033,1927.934,1371.084,1737.419,1371.0839999999998,1927.934,0.7253,0.45,0.9526,1.0,0.7746,True,
player_2,player_a,122,2243.012,407.917,2324.478,543.119,2283.745,475.518,2283.745,543.119,0.6494,1.0,0.166,1.0,0.8177,True,
unknown_3,,122,588.121,827.326,853.701,1088.639,720.911,957.982,720.9110000000001,1088.639,0.4655,0.05,1.0,1.0,0.548,False,far_outside_court_region
unknown_4,,122,1726.052,209.699,1830.304,342.475,1778.178,276.087,1778.1779999999999,342.475,0.4315,0.45,0.2086,1.0,0.5466,False,lower_ranked_player_candidate
unknown_6,,122,1024.811,843.831,1138.857,1005.861,1081.834,924.846,1081.8339999999998,1005.861,0.3743,0.45,0.2785,1.0,0.5409,False,lower_ranked_player_candidate
unknown_5,,122,2520.241,221.631,2600.468,356.089,2560.354,288.86,2560.3545,356.089,0.3614,0.45,0.1626,1.0,0.5159,False,lower_ranked_player_candidate
unknown_7,,122,2141.318,186.643,2213.569,346.408,2177.444,266.525,2177.4435000000003,346.408,0.3462,0.45,0.174,1.0,0.5131,False,lower_ranked_player_candidate
unknown_8,,122,1410.909,168.416,1472.38,333.203,1441.644,250.81,1441.6445,333.203,0.2769,0.45,0.1527,1.0,0.4871,False,lower_ranked_player_candidate
unknown_11,,122,407.517,1054.768,522.804,1284.109,465.16,1169.439,465.16049999999996,1284.109,0.2769,0.05,0.3985,1.0,0.3793,False,far_outside_court_region
unknown_10,,122,394.048,1049.873,567.671,1300.659,480.859,1175.266,480.8595,1300.659,0.2728,0.05,0.6562,1.0,0.4244,False,far_outside_court_region
unknown_12,,122,1917.546,228.501,2004.28,331.044,1960.913,279.773,1960.913,331.044,0.2527,0.45,0.134,1.0,0.476,False,lower_ranked_player_candidate
