original_track_id,filtered_track_id,frame_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,bottom_center_x,bottom_center_y,confidence,court_region_score,size_score,duration_score,final_player_score,keep,rejection_reason
player_1,player_b,120,1289.339,1547.772,1451.548,1928.678,1370.443,1738.225,1370.4434999999999,1928.678,0.7312,0.45,0.9311,1.0,0.7726,True,
player_2,player_a,120,2240.313,410.176,2323.964,544.143,2282.138,477.16,2282.1385,544.143,0.6357,1.0,0.1689,1.0,0.8138,True,
player_1,player_b,121,1289.337,1547.535,1451.565,1928.706,1370.451,1738.121,1370.451,1928.706,0.7296,0.45,0.9319,1.0,0.7722,True,
player_2,player_a,121,2240.507,410.292,2324.119,543.99,2282.313,477.141,2282.313,543.99,0.6339,1.0,0.1685,1.0,0.8132,True,
player_1,player_b,122,1288.135,1546.905,1454.033,1927.934,1371.084,1737.419,1371.0839999999998,1927.934,0.7253,0.45,0.9526,1.0,0.7746,True,
player_2,player_a,122,2243.012,407.917,2324.478,543.119,2283.745,475.518,2283.745,543.119,0.6494,1.0,0.166,1.0,0.8177,True,
player_1,player_b,123,1288.041,1547.965,1458.063,1927.412,1373.052,1737.688,1373.0520000000001,1927.412,0.7277,0.45,0.9723,1.0,0.7789,True,
player_2,player_a,123,2243.873,407.928,2324.246,542.159,2284.059,475.044,2284.0595000000003,542.159,0.6784,1.0,0.1626,1.0,0.8264,True,
player_2,player_a,124,2244.109,409.47,2327.218,542.431,2285.664,475.95,2285.6634999999997,542.431,0.7338,1.0,0.1665,1.0,0.8448,True,
player_1,player_b,124,1288.639,1546.146,1464.781,1927.496,1376.71,1736.821,1376.71,1927.496,0.7245,0.45,1.0,1.0,0.7828,True,
player_2,player_a,125,2244.95,408.201,2325.948,540.875,2285.449,474.538,2285.4489999999996,540.875,0.7508,1.0,0.162,1.0,0.8492,True,
player_1,player_b,125,1287.408,1545.181,1467.31,1927.822,1377.359,1736.502,1377.359,1927.822,0.6909,0.45,1.0,1.0,0.7721,True,
player_2,player_a,126,2245.021,408.208,2325.831,540.861,2285.426,474.535,2285.4260000000004,540.861,0.7508,1.0,0.1616,1.0,0.8491,True,
player_1,player_b,126,1287.404,1544.869,1467.264,1927.829,1377.334,1736.349,1377.3339999999998,1927.829,0.6908,0.45,1.0,1.0,0.7721,True,
player_2,player_a,127,2240.554,405.301,2323.213,539.5,2281.884,472.401,2281.8835,539.5,0.7467,0.75,0.1672,1.0,0.754,True,
player_1,player_b,127,1286.231,1546.247,1469.466,1927.688,1377.849,1736.967,1377.8485,1927.688,0.6885,0.45,1.0,1.0,0.7713,True,
player_2,player_a,128,2240.535,405.273,2323.163,539.524,2281.849,472.399,2281.849,539.524,0.7458,0.75,0.1672,1.0,0.7537,True,
player_1,player_b,128,1286.387,1546.292,1469.534,1927.666,1377.96,1736.979,1377.9605000000001,1927.666,0.6916,0.45,1.0,1.0,0.7723,True,
player_2,player_a,129,2235.739,400.687,2319.097,545.783,2277.418,473.235,2277.418,545.783,0.7238,1.0,0.1823,1.0,0.8444,True,
player_1,player_b,129,1287.031,1547.797,1475.941,1927.334,1381.486,1737.565,1381.4859999999999,1927.334,0.7015,0.45,1.0,1.0,0.7755,True,
player_2,player_a,130,2240.694,394.306,2317.3,553.842,2278.997,474.074,2278.9970000000003,553.842,0.7284,1.0,0.1842,1.0,0.8462,True,
player_1,player_b,130,1285.009,1546.93,1480.349,1926.393,1382.679,1736.662,1382.679,1926.393,0.6778,0.45,1.0,1.0,0.7679,True,
player_2,player_a,131,2240.663,394.114,2317.306,553.861,2278.985,473.988,2278.9845,553.861,0.7305,1.0,0.1845,1.0,0.847,True,
player_1,player_b,131,1284.996,1546.877,1480.273,1926.33,1382.635,1736.603,1382.6345000000001,1926.33,0.6753,0.45,1.0,1.0,0.7671,True,
player_2,player_a,132,2245.378,388.287,2316.248,554.724,2280.813,471.505,2280.813,554.724,0.7328,1.0,0.1778,1.0,0.8465,True,
player_1,player_b,132,1283.302,1549.305,1481.539,1925.134,1382.421,1737.22,1382.4205,1925.134,0.7019,0.45,1.0,1.0,0.7756,True,
player_2,player_a,133,2245.539,388.161,2316.302,554.857,2280.921,471.509,2280.9205,554.857,0.7319,1.0,0.1778,1.0,0.8462,True,
player_1,player_b,133,1283.224,1549.059,1481.566,1925.086,1382.395,1737.073,1382.395,1925.086,0.7014,0.45,1.0,1.0,0.7754,True,
player_2,player_a,134,2259.074,384.56,2318.502,553.559,2288.788,469.059,2288.788,553.559,0.7498,1.0,0.1514,1.0,0.8472,True,
player_1,player_b,134,1285.822,1549.083,1490.822,1926.236,1388.322,1737.659,1388.322,1926.236,0.7403,0.45,1.0,1.0,0.7879,True,
player_1,player_b,135,1286.011,1557.912,1494.865,1927.908,1390.438,1742.91,1390.438,1927.908,0.7776,0.45,1.0,1.0,0.791,True,
player_2,player_a,135,2261.581,380.744,2319.822,554.194,2290.701,467.469,2290.7015,554.194,0.7562,1.0,0.1522,1.0,0.8474,True,
player_1,player_b,136,1285.949,1557.513,1494.812,1928.019,1390.38,1742.766,1390.3805,1928.019,0.7782,0.45,1.0,1.0,0.791,True,
player_2,player_a,136,2261.598,380.65,2319.739,554.217,2290.668,467.434,2290.6684999999998,554.217,0.7537,1.0,0.1521,1.0,0.8474,True,
player_2,player_a,150,2260.964,374.29,2337.279,555.461,2299.122,464.875,2299.1215,555.461,0.7201,1.0,0.2084,1.0,0.8479,True,
player_1,player_b,150,1239.623,1545.102,1387.496,1925.916,1313.56,1735.509,1313.5595,1925.916,0.7132,0.45,0.8486,1.0,0.752,True,
player_2,player_a,165,2261.334,369.087,2338.507,555.868,2299.92,462.478,2299.9205,555.868,0.7181,1.0,0.2172,1.0,0.8489,True,
