frame_index,raw_x,raw_y,smooth_x,smooth_y,raw_projected_x,raw_projected_y,smooth_projected_x,smooth_projected_y,is_interpolated,smoothing_method
120,2175.0,492.0,2170.45,500.9,180.71,-59.098,179.582,-49.31,False,moving_average_3
121,2165.9,509.8,2165.9,509.8,178.453,-39.522,178.453,-39.522,True,moving_average_3
122,2156.8,527.6,2156.8,527.6,176.197,-19.945,176.197,-19.945,True,moving_average_3
123,2147.7,545.4,2147.7,545.4,173.94,-0.369,173.94,-0.369,True,moving_average_3
124,2138.6,563.2,2138.6,563.2,171.683,19.207,171.683,19.207,True,moving_average_3
125,2129.5,581.0,2129.5,581.0,169.427,38.783,169.427,38.783,True,moving_average_3
126,2120.4,598.8,2120.4,598.8,167.17,58.36,167.17,58.36,True,moving_average_3
127,2111.3,616.6,2111.3,616.6,164.913,77.936,164.913,77.936,True,moving_average_3
128,2102.2,634.4,2102.2,634.4,162.657,97.512,162.657,97.512,True,moving_average_3
129,2093.1,652.2,2093.1,652.2,160.4,117.088,160.4,117.088,True,moving_average_3
130,2084.0,670.0,2084.0,670.0,158.143,136.665,158.143,136.665,True,moving_average_3
131,2074.9,687.8,2074.9,687.8,155.887,156.241,155.887,156.241,True,moving_average_3
132,2065.8,705.6,2065.8,705.6,153.63,175.817,153.63,175.817,True,moving_average_3
133,2056.7,723.4,2056.7,723.4,151.373,195.393,151.373,195.393,True,moving_average_3
134,2047.6,741.2,2047.6,741.2,149.117,214.97,149.117,214.97,True,moving_average_3
135,2038.5,759.0,2038.6,761.7,146.86,234.546,147.187,234.301,False,moving_average_3
136,2029.7,784.9,2029.7,784.9,145.584,253.388,145.584,253.388,True,moving_average_3
137,2020.9,810.8,2020.9,810.8,144.309,272.231,144.309,272.231,True,moving_average_3
138,2012.1,836.7,2012.1,836.7,143.033,291.073,143.033,291.073,True,moving_average_3
139,2003.3,862.6,2003.3,862.6,141.758,309.915,141.758,309.915,True,moving_average_3
140,1994.5,888.5,1994.5,888.5,140.482,328.757,140.482,328.757,True,moving_average_3
