event_id,sequence_index,event_type,shot_type,manual_start_frame,manual_end_frame,manual_contact_frame,resolved_frame,image_x,image_y,projected_x,projected_y,court_zone,depth,lateral_lane,tracknet_confidence,position_status,position_trust,validation_status,validation_reason,should_render_as_physical_event,should_render_as_annotation
manual_full_rally_001,1,hit,serve_topspin,100,100,100,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_002,2,bounce,,153,154,154,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_003,3,hit,forehand_flat,194,197,196,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_004,4,bounce,,240,240,240,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_005,5,hit,forehand_slice,257,259,258,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_006,6,bounce,,328,328,328,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_007,7,hit,forehand_topspin,362,363,362,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_008,8,bounce,,418,418,418,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_009,9,hit,backhand_slice,463,463,463,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_010,10,bounce,,538,541,540,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_011,11,hit,backhand_topspin,571,571,571,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_012,12,bounce,,602,604,603,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_013,13,hit,forehand_topspin_adjusted,657,659,658,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_014,14,bounce,,722,722,722,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_015,15,hit,inside_out_forehand_topspin,762,762,762,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
manual_full_rally_016,16,bounce,,809,811,810,,,,,,unknown,unknown,unknown,,weights_missing,unresolved,unresolved_position,No reliable image/court position was resolved for this manual event.,no,yes
